"","Var1","Var2","Freq","habitat_type"
"1","","  site_id","Length:61         ","westland"
"2","","  site_id","Class :character  ","westland"
"3","","  site_id","Mode  :character  ","westland"
"4","","  site_id",NA,"westland"
"5","","  site_id",NA,"westland"
"6","","  site_id",NA,"westland"
"7","","habitat_type","Length:61         ","westland"
"8","","habitat_type","Class :character  ","westland"
"9","","habitat_type","Mode  :character  ","westland"
"10","","habitat_type",NA,"westland"
"11","","habitat_type",NA,"westland"
"12","","habitat_type",NA,"westland"
"13","","   avg_temp","Min.   : 1.50  ","westland"
"14","","   avg_temp","1st Qu.:10.30  ","westland"
"15","","   avg_temp","Median :14.70  ","westland"
"16","","   avg_temp","Mean   :14.32  ","westland"
"17","","   avg_temp","3rd Qu.:17.50  ","westland"
"18","","   avg_temp","Max.   :25.30  ","westland"
"19","","precipitation","Min.   : 30.80  ","westland"
"20","","precipitation","1st Qu.: 64.50  ","westland"
"21","","precipitation","Median : 75.10  ","westland"
"22","","precipitation","Mean   : 77.64  ","westland"
"23","","precipitation","3rd Qu.: 91.20  ","westland"
"24","","precipitation","Max.   :122.00  ","westland"
"25","","vegetation_index","Min.   :0.210  ","westland"
"26","","vegetation_index","1st Qu.:0.430  ","westland"
"27","","vegetation_index","Median :0.550  ","westland"
"28","","vegetation_index","Mean   :0.549  ","westland"
"29","","vegetation_index","3rd Qu.:0.700  ","westland"
"30","","vegetation_index","Max.   :0.900  ","westland"
"31",""," noise_level","Min.   :25.70  ","westland"
"32",""," noise_level","1st Qu.:38.50  ","westland"
"33",""," noise_level","Median :44.80  ","westland"
"34",""," noise_level","Mean   :44.04  ","westland"
"35",""," noise_level","3rd Qu.:50.70  ","westland"
"36",""," noise_level","Max.   :63.70  ","westland"
"37",""," num_species","Min.   :19.00  ","westland"
"38",""," num_species","1st Qu.:33.00  ","westland"
"39",""," num_species","Median :47.00  ","westland"
"40",""," num_species","Mean   :45.84  ","westland"
"41",""," num_species","3rd Qu.:57.00  ","westland"
"42",""," num_species","Max.   :76.00  ","westland"
"43","","  site_id","Length:55         ","forest"
"44","","  site_id","Class :character  ","forest"
"45","","  site_id","Mode  :character  ","forest"
"46","","  site_id",NA,"forest"
"47","","  site_id",NA,"forest"
"48","","  site_id",NA,"forest"
"49","","habitat_type","Length:55         ","forest"
"50","","habitat_type","Class :character  ","forest"
"51","","habitat_type","Mode  :character  ","forest"
"52","","habitat_type",NA,"forest"
"53","","habitat_type",NA,"forest"
"54","","habitat_type",NA,"forest"
"55","","   avg_temp","Min.   : 6.70  ","forest"
"56","","   avg_temp","1st Qu.:11.80  ","forest"
"57","","   avg_temp","Median :14.90  ","forest"
"58","","   avg_temp","Mean   :15.12  ","forest"
