"site_id","habitat_type","avg_temp","precipitation","vegetation_index","noise_level","num_species"
"S1","forest",21,79.9,0.79,42.5,63
"S2","forest",20.2,95.2,0.24,49.2,17
"S3","forest",10,80.8,0.77,54.9,56
"S4","forest",24.2,94.7,0.58,53.4,40
"S5","wetland",11.7,77.1,0.55,38.4,43
"S6","urban",15.5,78.8,0.22,60.6,8
"S7","wetland",12.9,89.6,0.59,28.8,52
"S8","wetland",14.4,99.9,0.7,53.6,57
"S9","forest",15.9,55.1,0.37,39.9,32
"S10","urban",15.6,79.3,0.77,25.8,65
"S11","grassland",14.9,78.6,0.5,26.3,39
"S12","urban",15.5,64.8,0.6,47.5,49
"S13","grassland",12.6,59.3,0.31,67.2,18
"S14","urban",12.5,67.4,0.34,47.7,24
"S15","forest",6.7,91.7,0.32,56.3,12
"S16","forest",13.1,71.7,0.78,53.4,54
"S17","wetland",12.4,64.3,0.28,38.5,26
"S18","urban",28.5,83.3,0.39,54.5,27
"S19","wetland",8.2,55.3,0.76,48.5,58
"S20","wetland",15.7,100.9,0.41,47.1,43
"S21","grassland",7.5,70.3,0.81,55,51
"S22","grassland",7.6,83.8,0.23,52.5,12
"S23","forest",15.6,81,0.44,38.7,33
"S24","forest",10,80,0.42,49,27
"S25","grassland",15,116.2,0.29,36.1,21
"S26","urban",12.9,63.5,0.46,51.3,34
"S27","forest",11.9,102.9,0.53,40.7,38
"S28","grassland",4.9,80.6,0.23,49.5,7
"S29","forest",8.9,63.3,0.89,48.7,67
"S30","forest",15.9,78.6,0.84,42.3,65
"S31","urban",17.8,94.9,0.89,49.7,66
"S32","wetland",12.5,71.5,0.32,50.7,27
"S33","urban",15,64.6,0.23,42.7,16
"S34","urban",20.6,83.1,0.3,56.7,19
"S35","grassland",22.2,99.8,0.45,58.9,22
"S36","wetland",9.5,78.5,0.58,38.4,46
"S37","forest",14.4,52.3,0.86,37.2,69
"S38","wetland",21,53.9,0.64,50.1,50
"S39","urban",12.7,64.6,0.54,35.9,45
"S40","wetland",14.7,69.5,0.26,40.5,21
"S41","grassland",14.6,79.6,0.86,53,65
"S42","grassland",10.6,93.4,0.44,39.3,31
"S43","wetland",12.8,71.3,0.46,25.7,41
"S44","wetland",14.9,57.7,0.64,51.6,50
"S45","urban",12.9,92.1,0.71,29,58
"S46","urban",20.6,85.5,0.34,31.5,24
"S47","urban",12.6,103.1,0.61,14.8,52
"S48","wetland",12.8,46.4,0.79,53.3,58
"S49","wetland",18.5,81.7,0.9,47.5,76
"S50","forest",9.7,107.1,0.21,49.6,14
"S51","urban",14.8,94.5,0.77,53.4,52
"S52","forest",7.2,63.3,0.34,44.6,25
"S53","urban",20.8,94.7,0.28,33.9,21
"S54","wetland",13.6,62.6,0.68,50.6,51
"S55","urban",12.7,70.9,0.39,58,25
"S56","wetland",8.8,103.8,0.78,30,67
"S57","grassland",15,74.2,0.65,38.9,53
"S58","urban",11,96.6,0.57,42.1,42
"S59","grassland",12.3,74.2,0.22,32.1,22
"S60","forest",21.4,48.5,0.4,51.9,25
"S61","forest",14.1,63,0.22,39,17
"S62","wetland",9.6,58.2,0.83,57.6,65
"S63","wetland",15.8,70.3,0.29,45.5,25
"S64","wetland",13.2,73.3,0.24,52.3,19
"S65","wetland",18,76.9,0.45,60.6,33
"S66","wetland",22.2,75.1,0.69,47.7,56
"S67","urban",10,117.8,0.82,55.8,63
"S68","grassland",17.3,52.3,0.37,47.1,28
"S69","wetland",15.4,71.7,0.47,29.9,42
"S70","forest",19.5,87,0.63,45.2,51
"S71","wetland",13.9,112.6,0.6,52.2,48
"S72","grassland",19.2,81.8,0.23,49.9,12
"S73","wetland",6.3,104.8,0.53,43.3,45
"S74","wetland",23.4,47.1,0.86,32.8,73
"S75","wetland",19.3,108.9,0.37,51.5,29
"S76","urban",14.2,66.2,0.67,35.8,50
"S77","forest",7.8,74.5,0.84,32.5,65
"S78","forest",18.2,57.8,0.23,50.9,17
"S79","forest",17.4,82.7,0.3,32.7,27
"S80","grassland",15,115.7,0.27,47.4,15
"S81","urban",15.8,128.4,0.49,45,33
"S82","forest",12.1,58.5,0.88,31.7,76
"S83","wetland",16.8,89.7,0.45,56.8,40
"S84","forest",16.5,107.8,0.71,39.1,53
"S85","forest",13.6,76.1,0.69,57,44
"S86","urban",8.3,75.6,0.22,40.2,23
"S87","urban",18.5,73.9,0.86,39.2,68
"S88","forest",17.8,92,0.57,44.7,43
"S89","grassland",10.8,107.9,0.69,41.4,53
"S90","grassland",7,93.8,0.23,41.4,20
"S91","forest",16,86.4,0.84,36.2,66
"S92","urban",13.3,74,0.22,32.9,22
"S93","forest",16.3,90,0.74,51.1,53
"S94","urban",8.5,69,0.57,36.9,46
"S95","urban",10.2,74.4,0.39,31.2,29
"S96","wetland",20.4,101.9,0.55,39.9,48
"S97","forest",17,88.8,0.57,37,48
"S98","urban",17.9,84.8,0.26,23.1,23
"S99","wetland",24.1,74.9,0.84,42.1,73
"S100","wetland",15.6,98.6,0.59,46.7,56
"S101","wetland",5,106.7,0.24,47.9,23
"S102","urban",16.7,62.6,0.67,48.9,48
"S103","forest",20.9,81.1,0.64,35,51
"S104","wetland",25.3,81,0.25,41.7,21
"S105","forest",8.1,68.4,0.51,34.9,47
"S106","wetland",9.2,60,0.65,38.6,47
"S107","urban",11.5,80,0.77,32.9,62
"S108","grassland",9.7,93.1,0.47,33.8,38
"S109","urban",11.8,109.5,0.74,51.3,54
"S110","forest",14.1,41.8,0.81,42.3,57
"S111","urban",9,66,0.63,42.4,48
"S112","forest",25.2,73.8,0.45,62.3,28
"S113","urban",15.5,46.7,0.85,44.4,68
"S114","grassland",14.6,65,0.72,39.6,57
"S115","wetland",17.5,64.5,0.24,52.5,22
"S116","wetland",15.2,65.5,0.28,40.1,22
"S117","grassland",14.3,36.2,0.77,58.7,54
"S118","forest",22.4,84.3,0.76,41.2,59
"S119","forest",13.9,67.4,0.24,38.8,18
"S120","wetland",8.6,110.4,0.84,33.3,70
"S121","grassland",16.9,95.9,0.71,48.3,57
"S122","urban",13.2,50.9,0.83,59.7,57
"S123","urban",12.4,82,0.57,41.4,38
"S124","wetland",9.7,68.1,0.44,47.6,37
"S125","urban",17.1,97.8,0.78,48.3,60
"S126","forest",14.1,81.1,0.75,59.2,55
"S127","forest",17.6,68.9,0.57,51.6,37
"S128","urban",13.8,88.8,0.75,34.3,59
"S129","forest",11.7,83.1,0.24,38,14
"S130","forest",21.3,76.7,0.52,37.5,43
"S131","forest",13.6,120.4,0.22,46.4,15
"S132","wetland",19.7,69.4,0.72,45,62
"S133","grassland",9,70.6,0.69,48.7,52
"S134","forest",12.7,49.1,0.2,38.4,13
"S135","wetland",13.7,79.2,0.53,41.2,46
"S136","urban",13,97.8,0.62,52.4,38
"S137","urban",21.7,38.6,0.4,44,30
"S138","forest",14.9,75,0.24,38.5,21
"S139","grassland",16.2,56.4,0.46,54.7,28
"S140","wetland",10.3,108.8,0.57,45.1,41
"S141","forest",11.4,107.2,0.38,35.8,25
"S142","forest",20,86.7,0.86,62.1,57
"S143","wetland",21.3,108.6,0.51,33.3,50
"S144","forest",21.2,62.7,0.69,27.2,57
"S145","forest",8.1,99,0.32,22.5,25
"S146","grassland",25.2,68.3,0.37,51.5,26
"S147","urban",20.1,86.4,0.22,39.7,9
"S148","wetland",14.9,74,0.43,42.2,36
"S149","grassland",18.5,74.4,0.49,47.9,38
"S150","wetland",10.1,90.9,0.28,40.3,24
"S151","wetland",9.5,53.9,0.8,28.9,74
"S152","urban",15.2,75,0.21,25.5,25
"S153","forest",9,83.4,0.88,41.6,64
"S154","grassland",16,71.9,0.76,46.7,53
"S155","forest",21.5,82.1,0.55,22.2,45
"S156","forest",9.8,73.6,0.85,47.9,65
"S157","forest",11.3,112.4,0.53,49.2,40
"S158","grassland",15.2,94.3,0.56,57.9,41
"S159","grassland",9.9,139.3,0.78,46.6,62
"S160","urban",13.1,64.1,0.31,47,24
"S161","forest",19.4,96.3,0.56,51,42
"S162","wetland",19.8,122,0.5,44.8,42
"S163","wetland",16.9,86,0.43,44.2,33
"S164","grassland",5.7,58.3,0.51,46.2,35
"S165","wetland",14.7,59.9,0.23,52.4,19
"S166","urban",20.3,79.3,0.37,40.7,32
"S167","grassland",19.1,106.2,0.27,40,25
"S168","grassland",14,95,0.45,36.3,29
"S169","wetland",1.5,37.2,0.66,35.4,55
"S170","forest",15.3,66,0.5,48.3,40
"S171","urban",17.9,79.8,0.25,60.5,9
"S172","forest",15.2,50.8,0.68,35.3,49
"S173","urban",15.8,93.9,0.8,43.1,63
"S174","wetland",17.2,30.8,0.81,34.7,75
"S175","forest",13,82.9,0.26,54.1,20
"S176","wetland",21.5,72.2,0.21,41.8,21
"S177","grassland",17.4,70.2,0.5,46.8,38
"S178","wetland",8.8,74.3,0.88,48.5,73
"S179","wetland",21.9,86.3,0.55,34.5,49
"S180","urban",21,87.9,0.9,44,59
"S181","wetland",19.1,75.5,0.55,42.7,48
"S182","wetland",6.7,41.5,0.29,51.8,21
"S183","wetland",12.2,51.2,0.59,32.7,55
"S184","grassland",18.2,50.6,0.37,33,28
"S185","wetland",15.2,95.2,0.71,52.7,51
"S186","urban",16.7,75.1,0.75,39.1,62
"S187","urban",27.3,85.4,0.51,38.4,40
"S188","grassland",10.9,48.8,0.53,46.1,49
"S189","wetland",4.4,69.3,0.48,41.8,44
"S190","wetland",16.4,91.2,0.83,63.7,65
"S191","grassland",11.6,76.4,0.59,47.6,45
"S192","urban",17.2,77.7,0.68,46.6,49
"S193","wetland",10.9,78.6,0.43,54.3,32
